name,launch date,source,intended usage,tdp (W),cores,threads
amd ryzen 9 pro 3900,2019-09-30,https://en.wikichip.org/wiki/amd/ryzen_9/pro_3900,Desktop,65.0,12,24.0
amd ryzen embedded r1102g,2020-02-25,https://en.wikichip.org/wiki/amd/ryzen_embedded/r1102g,Embedded,6.0,2,2.0
amd ryzen embedded r1305g,2020-02-25,https://en.wikichip.org/wiki/amd/ryzen_embedded/r1305g,Embedded,8.0,2,4.0
amd ryzen embedded r1505g,2019-04-16,https://en.wikichip.org/wiki/amd/ryzen_embedded/r1505g,Embedded,15.0,2,4.0
amd ryzen embedded r1606g,2019-04-16,https://en.wikichip.org/wiki/amd/ryzen_embedded/r1606g,Embedded,15.0,2,4.0
amd ryzen embedded v1202b,2018-02-21,https://en.wikichip.org/wiki/amd/ryzen_embedded/v1202b,Embedded,15.0,2,4.0
amd ryzen embedded v1404i,2018-12-01,https://en.wikichip.org/wiki/amd/ryzen_embedded/v1404i,Embedded,15.0,4,8.0
amd ryzen embedded v1500b,2018-12-01,https://en.wikichip.org/wiki/amd/ryzen_embedded/v1500b,Embedded,16.0,4,8.0
amd ryzen embedded v1605b,2018-02-21,https://en.wikichip.org/wiki/amd/ryzen_embedded/v1605b,Embedded,15.0,4,8.0
amd ryzen embedded v1756b,2018-02-21,https://en.wikichip.org/wiki/amd/ryzen_embedded/v1756b,Embedded,45.0,4,8.0
amd ryzen embedded v1780b,2018-12-01,https://en.wikichip.org/wiki/amd/ryzen_embedded/v1780b,Embedded,45.0,4,8.0
amd ryzen embedded v1807b,2018-02-21,https://en.wikichip.org/wiki/amd/ryzen_embedded/v1807b,Embedded,45.0,4,8.0
amd ryzen embedded v2516,2020-11-10,https://en.wikichip.org/wiki/amd/ryzen_embedded/v2516,Embedded,15.0,6,12.0
amd ryzen embedded v2546,2020-11-10,https://en.wikichip.org/wiki/amd/ryzen_embedded/v2546,Embedded,45.0,6,12.0
amd ryzen embedded v2718,2020-11-10,https://en.wikichip.org/wiki/amd/ryzen_embedded/v2718,Embedded,15.0,8,16.0
amd ryzen embedded v2748,2020-11-10,https://en.wikichip.org/wiki/amd/ryzen_embedded/v2748,Embedded,45.0,8,16.0
amd ryzen threadripper 1900x,2017-08-31,https://en.wikichip.org/wiki/amd/ryzen_threadripper/1900x,Desktop,180.0,8,16.0
amd ryzen threadripper 1920x,2017-08-10,https://en.wikichip.org/wiki/amd/ryzen_threadripper/1920x,Desktop,180.0,12,24.0
amd ryzen threadripper 1950x,2017-08-10,https://en.wikichip.org/wiki/amd/ryzen_threadripper/1950x,Desktop,180.0,16,32.0
amd ryzen threadripper 2920x,2018-10-29,https://en.wikichip.org/wiki/amd/ryzen_threadripper/2920x,Desktop,180.0,12,24.0
amd ryzen threadripper 2950x,2018-08-31,https://en.wikichip.org/wiki/amd/ryzen_threadripper/2950x,Desktop,180.0,16,32.0
amd ryzen threadripper 2970wx,2018-10-29,https://en.wikichip.org/wiki/amd/ryzen_threadripper/2970wx,Desktop,250.0,24,48.0
